City Name,2010 Census,2014 Estimate
Ada,1707,1650
Adams,787,785
Adrian,1209,1217
Afton,2886,2953
Aitkin,2165,2079
Akeley,432,431
Albany,2561,2618
Albert Lea,18016,17815
Alberta,103,102
Albertville,7044,7281
Alden,661,650
Aldrich,48,47
Alexandria,11070,11680
Alpha,116,128
Altura,493,491
Alvarado,363,357
Amboy,534,525
Andover,30598,31996
Annandale,3228,3295
Anoka,17142,17276
Apple Valley,49084,50487
Appleton,1412,1356
Arco,75,73
Arden Hills,9552,9876
Argyle,639,637
Arlington,2233,2179
Ashby,446,436
Askov,364,354
Atwater,1133,1122
Audubon,519,513
Aurora,1682,1674
Austin,24718,24716
Avoca,147,142
Avon,1396,1436
Babbitt,1475,1530
Backus,250,245
Badger,375,373
Bagley,1392,1392
Balaton,643,626
Barnesville,2563,2569
Barnum,613,600
Barrett,415,406
Barry,16,15
Battle Lake,875,879
Baudette,1106,1059
Baxter,7610,7826
Bayport,3471,3692
Beardsley,233,225
Beaver Bay,181,176
Beaver Creek,297,295
Becker,4538,4687
Bejou,89,91
Belgrade,740,752
Belle Plaine,6661,6902
Bellechester,175,175
Bellingham,168,160
Beltrami,107,106
Belview,384,364
Bemidji,13431,14453
Bena,116,117
Benson,3240,3107
Bertha,497,475
Bethel,466,470
Big Falls,236,225
Big Lake,10060,10360
Bigelow,235,237
Bigfork,446,447
Bingham Lake,126,128
Birchwood Village,870,878
Bird Island,1042,1004
Biscay,113,111
Biwabik,969,995
Blackduck,785,788
Blaine,57186,61190
Blomkest,157,160
Blooming Prairie,1996,1976
Bloomington,82893,86314
Blue Earth,3353,3269
Bluffton,207,210
Bock,106,106
Borup,110,107
Bovey,804,817
Bowlus,290,284
Boy River,47,46
Boyd,175,166
Braham,1793,1790
Brainerd,13590,13425
Brandon,489,478
Breckenridge,3386,3340
Breezy Point,2346,2347
Brewster,473,470
Bricelyn,365,350
Brook Park,139,136
Brooklyn Center,30104,30729
Brooklyn Park,75781,78728
Brooks,141,140
Brookston,141,139
Brooten,743,739
Browerville,790,761
Browns Valley,589,556
Brownsdale,676,690
Brownsville,466,459
Brownton,762,739
Bruno,102,100
Buckman,270,272
Buffalo,15453,15912
Buffalo Lake,733,697
Buhl,1000,997
Burnsville,60306,61630
Burtrum,144,140
Butterfield,586,602
Byron,4914,5191
Caledonia,2868,2793
Callaway,234,235
Calumet,367,363
Cambridge,8111,8323
Campbell,158,156
Canby,1795,1742
Cannon Falls,4083,4068
Canton,346,346
Carlos,502,492
Carlton,862,891
Carver,3724,4259
Cass Lake,770,748
Cedar Mills,45,44
Center City,628,630
Centerville,3792,3906
Ceylon,369,360
Champlin,23089,23828
Chandler,270,260
Chanhassen,22952,24967
Chaska,23770,24838
Chatfield,2779,2787
Chickamaw Beach,114,112
Chisago City,4967,4937
Chisholm,4976,5017
Chokio,400,391
Circle Pines,4918,4949
Clara City,1360,1320
Claremont,548,540
Clarissa,681,658
Clarkfield,863,831
Clarks Grove,706,688
Clear Lake,545,625
Clearbrook,518,518
Clearwater,1735,1780
Clements,153,150
Cleveland,719,707
Climax,267,266
Clinton,449,428
Clitherall,112,114
Clontarf,164,159
Cloquet,12124,12081
Coates,161,163
Cobden,36,35
Cohasset,2698,2754
Cokato,2694,2725
Cold Spring,4025,4044
Coleraine,1970,2003
Cologne,1519,1546
Columbia Heights,19496,19675
Columbus,3914,3980
Comfrey,382,374
Comstock,93,93
Conger,146,144
Cook,574,570
Coon Rapids,61476,62112
Corcoran,5379,5526
Correll,34,33
Cosmos,473,460
Cottage Grove,34589,35630
Cottonwood,1212,1211
Courtland,611,633
Cromwell,234,230
Crookston,7891,7920
Crosby,2386,2359
Crosslake,2141,2196
Crystal,22151,22605
Currie,233,228
Cuyuna,332,341
Cyrus,288,283
Dakota,323,318
Dalton,253,253
Danube,505,476
Danvers,97,94
Darfur,108,107
Darwin,350,350
Dassel,1469,1442
Dawson,1540,1454
Dayton,4671,4976
De Graff,115,128
Deephaven,3642,3807
Deer Creek,322,322
Deer River,930,940
Deerwood,532,522
Delano,5464,5767
Delavan,179,175
Delhi,70,68
Dellwood,1063,1083
Denham,35,34
Dennison,212,213
Dent,192,192
Detroit Lakes,8569,8961
Dexter,341,343
Dilworth,4024,4188
Dodge Center,2670,2691
Donaldson,42,41
Donnelly,241,242
Doran,55,54
Dover,735,748
Dovray,57,55
Duluth,86265,86238
Dumont,100,95
Dundas,1367,1446
Dundee,68,70
Dunnell,167,163
Eagan,64206,66084
Eagle Bend,535,513
Eagle Lake,2422,2688
East Bethel,11626,11642
East Grand Forks,8601,8651
East Gull Lake,1004,1003
Easton,199,195
Echo,278,270
Eden Prairie,60797,63228
Eden Valley,1042,1033
Edgerton,1189,1143
Edina,47941,49596
Effie,123,124
Eitzen,243,242
Elba,152,156
Elbow Lake,1176,1156
Elgin,1089,1064
Elizabeth,173,173
Elk River,22974,23746
Elko New Market,4110,4665
Elkton,141,142
Ellendale,691,688
Ellsworth,463,459
Elmdale,116,114
Elmore,663,644
Elrosa,211,212
Ely,3460,3455
Elysian,652,669
Emily,813,825
Emmons,391,386
Erhard,148,148
Erskine,503,490
Evan,86,83
Evansville,612,602
Eveleth,3718,3698
Excelsior,2188,2256
Eyota,1977,2037
Fairfax,1235,1183
